gene	cpm_P1	cpm_P2	cpm_C1	P1_C1_log2FC	P1_C1_pvalue	P1_C1_padj	P2_C1_log2FC	P2_C1_pvalue	P2_C1_padj
LACTB	45.8	46.4	40.6	0.13	0.0456	0.0896	0.19	0.002063	0.00519
RPS27L	661.7	674.2	701.7	-0.09	0.002804	0.007737	-0.01	0.8222	0.8693
RAB8B	11.9	13.6	14.1	-0.13	0.1002	0.1735	0	0.9915	0.9947
APH1B	9.1	9.2	16	-0.4	4.336e-07	2.243e-06	-0.37	1.579e-06	6.287e-06
CA12	69.5	78.8	22.9	1.2	2.444e-76	1.502e-74	1.42	9.322e-111	7.187e-109
USP3	25	29.2	23.5	0.05	0.4539	0.5771	0.25	0.0003531	0.001016
USP3-AS1	1.4	1.8	0.9	0.06	0.1689	0.2673	0.11	0.01784	0.03606
FBXL22	1.7	2	1	0.07	0.1248	0.2084	0.11	0.0247	0.04806
HERC1	22.2	21.3	24.9	-0.11	0.1428	0.2328	-0.11	0.1325	0.2029
DAPK2	0.2	0.5	5	-0.46	3.016e-16	3.331e-15	-0.43	7.858e-14	5.915e-13
FAM96A	104	100.5	111.1	-0.1	0.08395	0.1496	-0.08	0.1136	0.1788
SNX1	29.4	31.1	34.3	-0.16	0.02227	0.04853	-0.06	0.3653	0.4652
SNX22	1.2	1.6	1.6	-0.04	0.4023	0.5269	0	0.9976	0.9983
PPIB	404.9	412.4	520.2	-0.35	2.907e-23	4.403e-22	-0.27	5.908e-15	4.757e-14
CSNK1G1	19.6	17.1	17.1	0.12	0.1308	0.2162	0.03	0.6404	0.7233
PCLAF	12.6	12.7	18.5	-0.31	8.27e-05	0.0003101	-0.27	0.0004278	0.001215
TRIP4	5.4	7.6	6.5	-0.09	0.2127	0.3221	0.1	0.177	0.2581
ZNF609	17.6	17.2	14.9	0.14	0.07956	0.1432	0.15	0.04341	0.07879
OAZ2	72.9	72.5	71.1	0.02	0.6952	0.7852	0.06	0.2606	0.3553
RBPMS2	4.6	2.4	0.7	0.37	4.095e-12	3.425e-11	0.19	3.602e-05	0.0001197
PIF1	11	10.1	11.2	-0.01	0.8954	0.9329	-0.04	0.6155	0.7022
PLEKHO2	10.4	10	10.7	-0.02	0.8072	0.8699	-0.02	0.8246	0.8712
ANKDD1A	1.5	0.6	1.7	-0.01	0.7474	0.8256	-0.12	0.006439	0.01457
AC103691.1	3.3	3.2	3.9	-0.06	0.3624	0.4873	-0.05	0.4192	0.5198
SPG21	128	130.9	116.2	0.12	0.01944	0.04315	0.2	3.381e-05	0.0001129
MTFMT	20.6	16.9	20.4	0	0.9411	0.9628	-0.13	0.0915	0.1489
PDCD7	29.4	31.2	35.7	-0.21	0.00376	0.01008	-0.1	0.1331	0.2039
CLPX	20.2	20.9	20.5	-0.01	0.8375	0.8913	0.05	0.47	0.5689
PARP16	4.9	3	3.1	0.16	0.02017	0.0445	0.01	0.9188	0.9424
DPP8	34.2	33.8	35.9	-0.06	0.4299	0.5541	-0.02	0.7504	0.8124
HACD3	66.5	56.9	69	-0.05	0.4262	0.5508	-0.19	0.002238	0.005593
INTS14	13.8	13	16.8	-0.16	0.04784	0.09349	-0.17	0.0272	0.05227
SLC24A1	3	2.9	3.7	-0.07	0.2977	0.4191	-0.07	0.3066	0.4048
DENND4A	10.6	10.7	8.1	0.16	0.03372	0.06937	0.2	0.008574	0.0189
RAB11A	66.6	74.4	65	0.03	0.6752	0.7703	0.21	0.0002269	0.0006703
DIS3L	15.4	13.7	15.3	0	0.9845	0.9912	-0.06	0.4706	0.5695
TIPIN	7.3	7.2	9.6	-0.16	0.0401	0.08025	-0.15	0.05243	0.09257
MAP2K1	45.8	47	48	-0.06	0.3813	0.5072	0.02	0.7287	0.7953
SNAPC5	38.2	36.4	30.2	0.24	0.0004752	0.001558	0.24	0.0004042	0.001152
RPL4	1240.6	1243.8	1238.4	-0.01	0.7433	0.823	0.06	0.02323	0.04547
ZWILCH	21.3	19.1	24.6	-0.14	0.06825	0.1256	-0.2	0.00761	0.01695
LCTL	1.1	1.2	1.3	-0.03	0.5454	0.6615	0	0.9604	0.9712
SMAD6	15.2	11.3	20.2	-0.24	0.002029	0.005799	-0.44	1.48e-08	7.34e-08
SMAD3	57	77.4	26	0.85	3.239e-37	8.063e-36	1.27	3.466e-88	1.892e-86
AAGAB	21.9	22.1	19.8	0.09	0.2408	0.3541	0.14	0.06108	0.1057
IQCH	1.1	1.7	1.4	-0.03	0.4685	0.5899	0.05	0.3481	0.4479
IQCH-AS1	4	3.2	5.2	-0.1	0.1472	0.2385	-0.16	0.01543	0.03182
C15orf61	99.3	105.1	118.3	-0.23	2.411e-05	9.81e-05	-0.11	0.03963	0.07285
MAP2K5	9.6	12.5	12.6	-0.19	0.01774	0.03982	0.02	0.768	0.8266
PIAS1	25.1	22.5	23	0.08	0.2753	0.3938	0.02	0.7789	0.8358
AC107871.1	1	0.5	1.6	-0.07	0.1264	0.2106	-0.12	0.003722	0.008903
CLN6	5.6	8.2	11.3	-0.4	3.184e-07	1.671e-06	-0.18	0.02009	0.03991
FEM1B	27.1	31.2	23.4	0.13	0.06055	0.1137	0.32	3.817e-06	1.454e-05
ITGA11	303.9	313.7	104.9	1.42	1.036e-107	1.014e-105	1.53	4.32e-134	4.294e-132
CORO2B	4.4	4.7	1.7	0.25	4.862e-05	0.0001891	0.29	1.62e-06	6.429e-06
ANP32A	59.6	49.9	53.6	0.12	0.06083	0.1141	-0.04	0.5453	0.6393
SPESP1	0.8	15.4	4.9	-0.39	9.354e-11	6.955e-10	0.72	5.679e-22	6.496e-21
GLCE	10.6	12.6	13	-0.14	0.0721	0.1317	0.01	0.9411	0.9578
PAQR5	5.1	8.3	27.1	-1.17	3.3e-47	1.039e-45	-0.91	7.488e-32	1.21e-30
AC027237.3	3.6	4.7	3.7	-0.01	0.9246	0.9514	0.1	0.1248	0.1934
KIF23	49.4	44	60.8	-0.25	0.001001	0.003074	-0.33	8.831e-06	3.201e-05
RPLP1	9910.4	10387.3	7574.4	0.36	8.67e-73	5.059e-71	0.48	4.009e-106	2.931e-104
TLE3	25.5	15	11.2	0.67	8.84e-19	1.116e-17	0.25	0.00103	0.002748
SALRNA2	0.5	2.2	0.4	0.01	0.7012	0.79	0.2	1.338e-06	5.37e-06
UACA	108	153.7	74.4	0.46	3.775e-14	3.652e-13	0.98	2.303e-63	8.468e-62
LARP6	322.8	395.3	384.7	-0.25	2.219e-12	1.887e-11	0.08	0.02331	0.0456
LRRC49	6.2	6.7	4.2	0.16	0.02472	0.05304	0.21	0.002022	0.005094
THAP10	6.7	4.2	6.4	0.03	0.7458	0.8249	-0.16	0.0217	0.04278
THSD4	14	32.1	4.5	0.64	2.103e-17	2.482e-16	1.44	1.888e-85	1.001e-83
MYO9A	34.2	36.6	39.9	-0.17	0.01437	0.0331	-0.05	0.4492	0.5488
SENP8	2.9	2	1.5	0.14	0.01207	0.02831	0.06	0.2338	0.3257
PKM	750.6	759	763.5	-0.03	0.3035	0.4254	0.05	0.1044	0.1665
PARP6	15.7	14.9	12.9	0.15	0.06238	0.1165	0.14	0.06945	0.1181
HEXA	14.5	13.3	10.4	0.23	0.003278	0.0089	0.2	0.008169	0.01808
TMEM202-AS1	0.6	0.7	1.4	-0.08	0.03941	0.07907	-0.07	0.07527	0.1262
ARIH1	37.8	39.3	30	0.24	0.0006231	0.001999	0.33	7.188e-07	2.985e-06
BBS4	7	6.7	5.8	0.09	0.2376	0.3509	0.09	0.2361	0.3282
ADPGK	23.6	23.4	29.4	-0.22	0.003246	0.008822	-0.19	0.01062	0.0229
NEO1	17.6	10.3	3.4	0.92	2.457e-34	5.682e-33	0.54	1.978e-14	1.546e-13
NPTN	55.6	69.1	60.7	-0.11	0.09896	0.1717	0.2	0.001327	0.003477
CD276	60.3	73.3	50	0.21	0.000626	0.002007	0.5	3.016e-17	2.8e-16
LOXL1-AS1	54.6	60.4	38.7	0.39	4.021e-09	2.593e-08	0.56	3.727e-19	3.757e-18
LOXL1	306.8	265.1	260.4	0.22	5.594e-08	3.212e-07	0.07	0.06346	0.1093
STOML1	11.3	10.9	13.9	-0.15	0.05407	0.1035	-0.15	0.05735	0.1002
PML	32.7	31.3	30.4	0.07	0.3202	0.4432	0.07	0.2909	0.3873
ISLR	94.4	11.7	120.4	-0.32	2.332e-07	1.245e-06	-2.44	3.268e-224	9.23799999999999e-222
SEMA7A	34.2	36.6	53.9	-0.51	5.431e-13	4.852e-12	-0.4	6.076e-09	3.137e-08
UBL7	41.8	43.7	59.8	-0.42	8.002e-11	5.988e-10	-0.32	2.685e-07	1.171e-06
UBL7-AS1	6.2	5.5	5.4	0.06	0.3761	0.5021	0.03	0.6899	0.7643
ARID3B	3.1	2.8	2.3	0.07	0.219	0.3296	0.06	0.2961	0.3933
CLK3	15.7	15.3	15.3	0.02	0.805	0.868	0.03	0.6644	0.744
EDC3	16.3	16.4	15.1	0.06	0.4456	0.5698	0.1	0.1694	0.2487
CSK	30.5	33.1	29.8	0.02	0.7927	0.8601	0.15	0.02637	0.05083
ULK3	8.1	10.7	7.7	0.03	0.6806	0.7744	0.23	0.002314	0.005771
SCAMP2	37.9	44.4	49	-0.29	1.365e-05	5.768e-05	-0.07	0.2926	0.3892
MPI	12.5	12.8	10.7	0.11	0.1809	0.2822	0.16	0.03664	0.06797
FAM219B	38.4	39.6	30.6	0.23	0.0006865	0.002183	0.31	1.749e-06	6.912e-06
COX5A	289.3	296.2	310	-0.1	0.004753	0.0124	-0.01	0.8261	0.8723
RPP25	1.3	2.5	0.6	0.08	0.04542	0.08929	0.21	4.275e-06	1.618e-05
PPCDC	8.6	7.8	7.7	0.06	0.4301	0.5544	0.03	0.6969	0.7695
C15orf39	8.2	11.5	9.7	-0.1	0.1902	0.2933	0.14	0.06672	0.1141
COMMD4	48.8	44.6	67.2	-0.39	6.034e-09	3.815e-08	-0.43	1.081e-11	6.952e-11
MAN2C1	12.5	13.1	11.2	0.07	0.3406	0.4651	0.14	0.06023	0.1044
AC068338.2	3.7	2.5	4	-0.02	0.7457	0.8249	-0.13	0.03902	0.07189
SIN3A	17.2	18.4	17.6	-0.02	0.8135	0.8746	0.08	0.3147	0.4134
PTPN9	24.6	24.5	26.8	-0.08	0.2582	0.3747	-0.05	0.5149	0.6112
SNUPN	19.9	19.8	21.6	-0.08	0.3265	0.4497	-0.04	0.577	0.6685
IMP3	68.9	73.8	81.4	-0.21	0.000468	0.001536	-0.08	0.1948	0.2801
SNX33	10.7	14.6	10.2	0.03	0.7078	0.7955	0.28	0.0001864	0.0005588
CSPG4	26.8	23.7	35.8	-0.3	2.843e-05	0.0001149	-0.38	6.155e-08	2.868e-07
UBE2Q2	85.5	74.4	80.7	0.07	0.2714	0.3892	-0.06	0.3485	0.4485
FBXO22	29.4	29.3	29.5	-0.01	0.937	0.9604	0.04	0.5964	0.6849
ETFA	59	62	66.3	-0.14	0.02381	0.05133	-0.03	0.5871	0.6773
SCAPER	6.5	7.8	5.9	0.05	0.5194	0.6392	0.16	0.02142	0.0423
RCN2	166.9	175.8	183.2	-0.13	0.002689	0.007463	-0.01	0.8835	0.9153
TSPAN3	170.7	189	180.8	-0.09	0.05981	0.1125	0.11	0.01414	0.02951
PEAK1	77.2	72.4	53.1	0.44	4.609e-13	4.147e-12	0.42	3.078e-12	2.065e-11
HMG20A	14.4	14.1	12.1	0.12	0.1176	0.1979	0.14	0.06545	0.1123
TBC1D2B	15.8	18.2	11.2	0.25	0.001219	0.003675	0.4	6.812e-08	3.158e-07
CIB2	6	7.2	7.6	-0.12	0.1151	0.1944	-0.01	0.9377	0.9556
IDH3A	25.1	26.1	24.3	0.03	0.714	0.8003	0.11	0.1354	0.2068
DNAJA4	2.1	2.3	1.7	0.04	0.4337	0.5579	0.07	0.1795	0.2612
WDR61	21.3	23.2	26.3	-0.2	0.007375	0.01834	-0.08	0.2582	0.3525
IREB2	26.8	29.4	22.7	0.16	0.03433	0.07046	0.29	3.244e-05	0.0001086
HYKK	3.4	3	2.7	0.06	0.353	0.4773	0.04	0.5683	0.6607
PSMA4	60.2	57.4	55.3	0.09	0.1351	0.2219	0.09	0.1582	0.2353
CHRNA5	0.6	1.2	1.5	-0.1	0.01675	0.03795	-0.03	0.4589	0.5583
ADAMTS7	17.8	19.4	2.5	1.01	1.136e-42	3.19e-41	1.13	2.84e-54	8.622e-53
MORF4L1	345.7	377.7	334.7	0.04	0.3038	0.4256	0.22	8.612e-11	5.175e-10
TMED3	203.8	209.7	165.4	0.27	4.215e-09	2.706e-08	0.37	4.213e-16	3.643e-15
MTHFS	24.6	23.8	27.5	-0.11	0.139	0.2274	-0.1	0.1548	0.2313
ST20-MTHFS	1.3	0.7	1.2	0.02	0.747	0.8256	-0.04	0.2528	0.3467
ST20	2	2.9	2.2	-0.02	0.6904	0.7816	0.07	0.2018	0.2883
ST20-AS1	5.6	3.7	4.2	0.11	0.1109	0.1888	-0.03	0.6553	0.7363
ZFAND6	44.3	43.7	50.2	-0.15	0.02518	0.05389	-0.11	0.08573	0.1411
FAH	17.2	16.1	21.9	-0.22	0.004933	0.01281	-0.23	0.001862	0.004726
ARNT2	12.9	14.6	15.2	-0.12	0.1082	0.1849	0	0.9944	0.9966
ABHD17C	4.1	4	7.5	-0.27	0.0002904	0.000993	-0.26	0.0002673	0.0007824
CEMIP	253.5	170.1	221.3	0.18	0.01677	0.03797	-0.29	9.334e-05	0.0002924
MESD	73.3	73.7	96	-0.34	5.398e-09	3.432e-08	-0.29	4.145e-07	1.776e-06
TLNRD1	16	16.9	15.7	0.01	0.8828	0.9245	0.09	0.2083	0.2956
STARD5	1.9	1.2	2.8	-0.09	0.1253	0.209	-0.16	0.004061	0.009635
TMC3-AS1	1.8	1.7	5.7	-0.34	2.752e-07	1.457e-06	-0.35	7.885e-08	3.638e-07
MEX3B	6.2	6.1	3.6	0.22	0.00186	0.005364	0.23	0.0008051	0.002188
EFL1	10.3	12.7	9.8	0.03	0.6702	0.7664	0.2	0.007008	0.01573
SAXO2	1.5	1	1.2	0.03	0.4605	0.583	-0.02	0.6688	0.7475
GOLGA6L9	1.4	1.1	0.9	0.06	0.1689	0.2673	0.03	0.5123	0.6091
RPS17	88.9	97.3	84.8	0.05	0.3462	0.4703	0.22	5.309e-05	0.0001718
CPEB1	0.9	0.2	2	-0.11	0.01727	0.03892	-0.19	1.235e-06	4.973e-06
SNHG21	7.5	7.1	9.2	-0.12	0.1092	0.1862	-0.13	0.08163	0.1351
WHAMM	12.1	15.2	18.9	-0.36	6.742e-06	2.984e-05	-0.15	0.04828	0.08632
HOMER2	5.2	3.8	10.2	-0.36	2.654e-06	1.243e-05	-0.47	2.596e-10	1.504e-09
RAMMET	23.4	26.8	25	-0.07	0.3814	0.5073	0.11	0.1249	0.1935
C15orf40	73.9	67.8	64.8	0.15	0.01184	0.02789	0.1	0.09683	0.1562
BTBD1	28.6	33.5	32.8	-0.15	0.04322	0.08559	0.06	0.3461	0.4459
HDGFL3	78.3	72.2	52.2	0.48	1.285e-14	1.282e-13	0.43	3.646e-13	2.617e-12
BNC1	4.4	2.7	12.6	-0.57	3.326e-13	3.016e-12	-0.72	1.17e-21	1.319e-20
UBE2Q2L	1.1	1.6	3.5	-0.24	2.139e-05	8.773e-05	-0.18	0.001526	0.003947
GOLGA6L4	2.1	1.6	2	0.01	0.7956	0.862	-0.04	0.5094	0.6071
ZSCAN2	9.3	9.5	7.5	0.13	0.1036	0.1783	0.17	0.02847	0.05437
WDR73	11.7	11.2	8.7	0.18	0.01611	0.03668	0.18	0.01305	0.02746
NMB	71	105	39.4	0.68	2.837e-23	4.301e-22	1.22	2.359e-72	1.017e-70
SEC11A	217.1	193.3	209.6	0.04	0.3303	0.4538	-0.06	0.145	0.219
ZNF592	13.3	15.6	13.8	-0.03	0.7034	0.7914	0.13	0.08996	0.1467
PDE8A	15.8	18.3	19.6	-0.19	0.01763	0.03962	-0.03	0.7026	0.7741
AKAP13	29.3	33.3	34.1	-0.16	0.02537	0.05424	0.01	0.8152	0.8634
KLHL25	2.5	0.7	1.5	0.1	0.05784	0.1094	-0.07	0.07882	0.1313
MRPL46	17.7	17.3	22	-0.2	0.01173	0.02767	-0.18	0.01832	0.03689
MRPS11	66.1	63.6	77.1	-0.19	0.001784	0.005174	-0.19	0.001398	0.003649
DET1	4.5	6.6	6.7	-0.18	0.01445	0.03327	0.01	0.9144	0.9393
AEN	20.2	20.4	16.8	0.16	0.0402	0.08042	0.21	0.005728	0.01316
ISG20	2.1	3.9	0.5	0.17	8.873e-05	0.0003312	0.35	3.559e-12	2.379e-11
ACAN	35.3	70.8	7.6	1.24	1.456e-61	6.888e-60	2.1	2.694e-192	5.272e-190
HAPLN3	21.3	12.9	3.3	1.09	1.348e-47	4.287e-46	0.72	3.359e-23	4.035e-22
MFGE8	504.1	333.2	72.3	2.59	3.33099058426168e-320	3.85300008896607e-317	2.08	4.068e-208	1.035e-205
ABHD2	42.4	42.7	22.4	0.65	2.447e-20	3.326e-19	0.71	1.551e-25	2.034e-24
FANCI	17.7	14	22.8	-0.23	0.003383	0.009156	-0.38	3.918e-07	1.683e-06
POLG	18.2	15.1	20.8	-0.12	0.1165	0.1964	-0.24	0.001566	0.004041
TICRR	3.4	2.8	4.4	-0.08	0.2086	0.317	-0.13	0.0375	0.06944
KIF7	12.2	13.1	26.4	-0.66	5.426e-17	6.269e-16	-0.58	2.262e-14	1.762e-13
PEX11A	1.6	4.9	3.3	-0.17	0.005601	0.01429	0.15	0.02197	0.04325
MESP1	6.5	7.2	5.3	0.1	0.1925	0.2965	0.17	0.0202	0.04012
ANPEP	62.9	68.5	119.2	-0.81	8.345e-39	2.162e-37	-0.66	9.298e-29	1.353e-27
AP3S2	9	7.3	7.9	0.07	0.3311	0.4548	-0.02	0.798	0.8503
ARPIN	8.7	5.7	10.4	-0.11	0.1566	0.2511	-0.32	2.912e-05	9.811e-05
ZNF710	3.1	4.2	4.2	-0.1	0.1261	0.2102	0.01	0.8176	0.8655
IDH2	87.1	71.1	77.4	0.14	0.01623	0.03693	-0.06	0.3076	0.4057
SEMA4B	3.1	3.9	2.5	0.05	0.3885	0.5134	0.15	0.01653	0.03376
CIB1	126.3	122.2	145.9	-0.2	0.000104	0.0003844	-0.18	0.0002386	0.0007029
NGRN	195.9	195.2	171.9	0.17	0.0001609	0.0005743	0.22	1.401e-07	6.303e-07
ZNF774	2.1	3.1	1.8	0.03	0.5699	0.6834	0.14	0.01247	0.0264
IQGAP1	122.8	133.3	154.2	-0.31	1.443e-09	9.718e-09	-0.15	0.001924	0.004869
CRTC3	34.7	30.4	34.9	-0.01	0.8957	0.9331	-0.1	0.1404	0.2131
BLM	3.5	3	2.6	0.09	0.1703	0.2689	0.05	0.379	0.4792
FURIN	41.4	41.5	30.4	0.32	2.054e-06	9.769e-06	0.37	1.004e-08	5.072e-08
FES	4.3	2.5	4.3	0	0.9999	0.9999	-0.15	0.01899	0.03804
MAN2A2	5.3	6.2	5.4	-0.02	0.8343	0.8897	0.07	0.2793	0.375
HDDC3	20.9	23.4	26.5	-0.23	0.002698	0.007482	-0.08	0.2693	0.3639
UNC45A	30.7	30.6	30.5	0	0.9898	0.9939	0.04	0.5223	0.6183
RCCD1	15.8	13.2	14.1	0.09	0.2634	0.38	-0.02	0.7806	0.837
PRC1	28.6	28.4	47.2	-0.54	6.616e-14	6.3e-13	-0.5	6.049e-13	4.275e-12
VPS33B	1.3	1	1.4	-0.01	0.8648	0.9117	-0.04	0.3513	0.4514
SLCO3A1	11.2	9.5	4.8	0.45	1.56e-09	1.046e-08	0.38	2.071e-07	9.155e-07
ST8SIA2	0.9	1.6	20.5	-1.3	2.877e-61	1.341e-59	-1.22	2.41e-56	7.663e-55
FAM174B	0.6	1.2	6.6	-0.55	8.954e-18	1.076e-16	-0.49	6.188e-14	4.711e-13
AC013394.1	3.9	6.6	3.6	0.02	0.7186	0.8036	0.26	0.0001366	0.0004184
CHD2	44.6	43.2	35.2	0.25	0.0001474	0.0005299	0.27	2.941e-05	9.906e-05
MCTP2	0.6	4	0.1	0.05	0.0258	0.05509	0.4	1.169e-18	1.157e-17
NR2F2-AS1	5.6	6	2.1	0.31	1.658e-06	7.986e-06	0.36	1.038e-08	5.233e-08
NR2F2	63.4	84.5	42.3	0.46	1.407e-12	1.216e-11	0.86	4.462e-44	1.047e-42
ARRDC4	7	8.5	1.4	0.49	1.406e-14	1.396e-13	0.63	5.388e-22	6.169e-21
IGF1R	25.9	26.7	19.2	0.27	0.0002999	0.001022	0.35	1.582e-06	6.297e-06
SYNM	6.8	6.8	3	0.32	4.867e-06	2.199e-05	0.34	4.506e-07	1.918e-06
TTC23	11.2	13.1	10.2	0.06	0.4539	0.5771	0.2	0.008272	0.01828
LRRC28	29.2	23.9	17.5	0.47	2.146e-10	1.539e-09	0.32	1.25e-05	4.438e-05
MEF2A	68.2	61.8	40.5	0.6	1.532e-21	2.184e-20	0.53	8.999e-18	8.575e-17
LYSMD4	4.9	5.1	4	0.08	0.2666	0.384	0.11	0.09459	0.1531
AC090825.1	2.8	4.8	6.3	-0.3	1.92e-05	7.926e-05	-0.11	0.1317	0.2021
LINS1	4.7	5.2	5.1	-0.04	0.6131	0.719	0.02	0.7429	0.8061
ASB7	10	8.8	8.3	0.11	0.1524	0.2458	0.06	0.4176	0.5184
AC015712.1	2.8	2.3	4.3	-0.14	0.03685	0.07474	-0.17	0.00569	0.01308
ALDH1A3	34.4	11.6	21.2	0.47	7.535e-11	5.648e-10	-0.46	2.427e-09	1.298e-08
AC015712.2	2.4	2.7	3.5	-0.1	0.1009	0.1744	-0.06	0.3251	0.4242
LRRK1	13	13.4	21.1	-0.4	4.442e-07	2.295e-06	-0.34	5.501e-06	2.048e-05
CHSY1	23.4	27.5	18.9	0.19	0.01348	0.03126	0.38	8.315e-08	3.827e-07
SELENOS	142	172.8	155	-0.12	0.01414	0.03264	0.19	6.07e-05	0.0001949
SNRPA1	43.1	44.7	64.5	-0.48	6.101e-13	5.435e-12	-0.38	1.175e-09	6.439e-09
TM2D3	28.5	25.6	28.8	-0.01	0.8415	0.8946	-0.08	0.2764	0.3718
TARSL2	23.3	21.8	25.9	-0.1	0.1621	0.2587	-0.13	0.08315	0.1373
POLR3K	37	34	36.2	0.02	0.8047	0.8679	-0.03	0.6993	0.7713
SNRNP25	82.5	79.3	100.9	-0.26	5.994e-06	2.67e-05	-0.26	3.955e-06	1.505e-05
RHBDF1	16	21.6	15	0.05	0.5153	0.6355	0.35	2.366e-06	9.248e-06
MPG	202.2	204.7	187.3	0.09	0.03217	0.06664	0.17	7.867e-05	0.000249
NPRL3	36.2	26.8	33.9	0.07	0.3343	0.458	-0.2	0.004175	0.009861
LUC7L	25.8	25.5	26.3	-0.02	0.7668	0.8409	0.01	0.8883	0.919
FAM234A	26	23.2	16	0.43	1.756e-08	1.062e-07	0.36	1.05e-06	4.276e-06
AXIN1	6.2	6.3	5.3	0.07	0.3137	0.4362	0.1	0.1465	0.221
MRPL28	42.8	37	51.7	-0.22	0.0008534	0.002653	-0.33	2.993e-07	1.301e-06
TMEM8A	24.1	22.5	18.8	0.22	0.002904	0.007973	0.2	0.006061	0.01384
NME4	845.2	894.4	603.9	0.46	4.844e-51	1.751e-49	0.59	2.991e-78	1.399e-76
DECR2	6.1	6.4	5.4	0.06	0.4324	0.5567	0.1	0.1572	0.2341
RAB11FIP3	2.9	3.6	3.9	-0.09	0.1622	0.2587	-0.01	0.897	0.9259
CAPN15	12.1	16.5	13.9	-0.11	0.1759	0.2763	0.17	0.02536	0.04918
PIGQ	14.9	16.3	13.9	0.05	0.5249	0.6445	0.16	0.03503	0.06536
RAB40C	8	6.2	6.6	0.1	0.1841	0.2859	-0.01	0.8931	0.9226
METTL26	314.6	259.7	260.7	0.25	7.153e-12	5.815e-11	0.04	0.2425	0.3356
MCRIP2	52.3	63	46.9	0.12	0.05893	0.1111	0.39	1.899e-10	1.111e-09
AL022341.1	2.2	1.2	2	0.02	0.7431	0.823	-0.07	0.1311	0.2013
WDR90	3.4	3.4	4	-0.06	0.3597	0.4843	-0.05	0.4795	0.578
RHOT2	17.1	19.2	19.3	-0.11	0.1717	0.2706	0.03	0.638	0.7211
RHBDL1	1	1.6	1	0	0.9494	0.9683	0.08	0.0858	0.1411
STUB1	352.9	379.3	349.7	0	0.9731	0.9823	0.15	6.089e-06	2.253e-05
JMJD8	30.3	36.1	29.4	0.02	0.7233	0.8074	0.25	0.000151	0.0004592
WDR24	7.6	6.4	6.2	0.1	0.1835	0.2852	0.04	0.6145	0.7012
METRN	27.3	32.1	34.3	-0.24	0.0009798	0.003014	-0.04	0.6693	0.7478
FAM173A	83.2	88.7	76.5	0.1	0.08884	0.157	0.23	2.572e-05	8.73e-05
HAGHL	13.4	12.8	13	0.02	0.7931	0.8603	0.02	0.7928	0.8462
NARFL	7.9	7.8	9.5	-0.11	0.1526	0.246	-0.09	0.2317	0.3233
RPUSD1	24.5	30.5	28.9	-0.17	0.02518	0.05389	0.09	0.1693	0.2487
CHTF18	6.2	4.6	7.3	-0.09	0.261	0.3777	-0.2	0.005896	0.01351
LMF1	6.8	5.3	4.1	0.22	0.002331	0.006575	0.12	0.08468	0.1395
UBE2I	215.5	232.4	232.2	-0.11	0.01222	0.02864	0.05	0.2347	0.3268
TSR3	67.6	76.4	85	-0.29	1.309e-06	6.402e-06	-0.09	0.1174	0.1839
GNPTG	83.7	71.1	71.4	0.19	0.000969	0.002984	0.04	0.4838	0.5824
UNKL	20.3	14	14.3	0.29	0.0001919	0.0006771	0.01	0.8604	0.8981
C16orf91	25.8	22	24.9	0.03	0.6907	0.7817	-0.08	0.2626	0.3572
CLCN7	12.2	14.6	13.7	-0.09	0.2573	0.3737	0.08	0.3075	0.4056
TELO2	8.1	8.8	13.4	-0.33	3.18e-05	0.0001272	-0.26	0.0007127	0.001954
IFT140	3.1	3.4	4	-0.08	0.2093	0.3178	-0.04	0.5256	0.6215
TMEM204	13	15.3	28.9	-0.7	4.121e-19	5.3e-18	-0.55	3.085e-13	2.227e-12
CRAMP1	4.6	6	4.1	0.04	0.5304	0.6489	0.18	0.009802	0.02133
JPT2	29	39.1	38.4	-0.3	3.007e-05	0.0001209	0.06	0.3092	0.4075
MAPK8IP3	17.2	16.8	12.7	0.23	0.002656	0.007377	0.24	0.001019	0.00272
NME3	102.6	102.1	57.2	0.72	9.613e-33	2.138e-31	0.76	3.337e-39	6.891e-38
MRPS34	168.1	184.7	226.6	-0.41	3.041e-18	3.719e-17	-0.22	2.143e-07	9.441e-07
EME2	4.9	3.8	2.8	0.18	0.004751	0.0124	0.11	0.0865	0.142
SPSB3	21.6	17.8	16.8	0.21	0.005431	0.01392	0.08	0.2593	0.3538
NUBP2	47.6	46.4	48.4	-0.02	0.7377	0.819	0	0.9797	0.9867
HAGH	70.5	74.1	71.3	-0.02	0.7247	0.8085	0.09	0.1232	0.1915
FAHD1	27.1	18.3	36	-0.29	4.287e-05	0.0001685	-0.62	1.115e-17	1.055e-16
MSRB1	32	35.2	30.6	0.04	0.5401	0.6572	0.19	0.004915	0.01145
NDUFB10	299.2	318.4	328.4	-0.14	8.077e-05	0.0003031	0	0.9842	0.9899
RPS2	5002.2	4978.2	4265.2	0.21	2.235e-26	3.838e-25	0.26	1.007e-33	1.749e-32
SNHG9	7.1	11.4	9.1	-0.14	0.06786	0.125	0.18	0.01929	0.03856
TBL3	7.8	8	9	-0.09	0.2495	0.3643	-0.05	0.5115	0.6085
GFER	54	52.5	66.7	-0.26	5.241e-05	0.0002033	-0.24	8.297e-05	0.0002615
SYNGR3	1.2	1.1	0.9	0.03	0.4279	0.5524	0.02	0.6165	0.703
